"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"Anderson County, Kansas","","","",""
"    Estimate","2,850","3","2,926","37"
"Atchison County, Kansas","","","",""
"    Estimate","5,722","85","6,439","102"
"Barber County, Kansas","","","",""
"    Estimate","1,679","14","1,637","4"
"Barton County, Kansas","","","",""
"    Estimate","8,988","278","9,524","281"
"Bourbon County, Kansas","","","",""
"    Estimate","5,204","30","5,487","34"
"Brown County, Kansas","","","",""
"    Estimate","3,442","11","3,642","8"
"Butler County, Kansas","","","",""
"    Estimate","24,376","234","23,947","476"
"Chase County, Kansas","","","",""
"    Estimate","993","0","984","27"
"Chautauqua County, Kansas","","","",""
"    Estimate","1,326","0","1,239","9"
"Cherokee County, Kansas","","","",""
"    Estimate","7,394","7","7,767","2"
"Cheyenne County, Kansas","","","",""
"    Estimate","979","7","1,021","11"
"Clark County, Kansas","","","",""
"    Estimate","748","15","740","11"
"Clay County, Kansas","","","",""
"    Estimate","3,067","20","3,011","29"
"Cloud County, Kansas","","","",""
"    Estimate","3,242","14","3,328","37"
"Coffey County, Kansas","","","",""
"    Estimate","3,210","30","3,199","24"
"Comanche County, Kansas","","","",""
"    Estimate","671","0","727","7"
"Cowley County, Kansas","","","",""
"    Estimate","12,888","256","12,737","397"
"Crawford County, Kansas","","","",""
"    Estimate","14,623","321","14,686","294"
"Decatur County, Kansas","","","",""
"    Estimate","1,118","0","1,105","19"
"Dickinson County, Kansas","","","",""
"    Estimate","6,923","83","7,016","88"
"Doniphan County, Kansas","","","",""
"    Estimate","3,083","22","2,983","4"
"Douglas County, Kansas","","","",""
"    Estimate","44,723","1,440","46,492","1,459"
"Edwards County, Kansas","","","",""
"    Estimate","952","54","984","32"
"Elk County, Kansas","","","",""
"    Estimate","950","0","990","7"
"Ellis County, Kansas","","","",""
"    Estimate","10,782","231","10,831","287"
"Ellsworth County, Kansas","","","",""
"    Estimate","2,810","23","2,112","6"
"Finney County, Kansas","","","",""
"    Estimate","9,026","1,753","9,110","1,336"
"Ford County, Kansas","","","",""
"    Estimate","8,013","1,154","7,978","776"
"Franklin County, Kansas","","","",""
"    Estimate","9,490","73","9,572","166"
"Geary County, Kansas","","","",""
"    Estimate","11,296","839","9,247","777"
"Gove County, Kansas","","","",""
"    Estimate","1,006","12","1,002","3"
"Graham County, Kansas","","","",""
"    Estimate","902","0","1,032","13"
"Grant County, Kansas","","","",""
"    Estimate","1,998","212","1,910","101"
"Gray County, Kansas","","","",""
"    Estimate","1,827","39","1,860","90"
"Greeley County, Kansas","","","",""
"    Estimate","362","43","365","23"
"Greenwood County, Kansas","","","",""
"    Estimate","2,348","26","2,325","4"
"Hamilton County, Kansas","","","",""
"    Estimate","655","44","686","26"
"Harper County, Kansas","","","",""
"    Estimate","1,980","1","2,052","7"
"Harvey County, Kansas","","","",""
"    Estimate","12,196","239","12,802","241"
"Haskell County, Kansas","","","",""
"    Estimate","1,017","142","1,010","216"
"Hodgeman County, Kansas","","","",""
"    Estimate","710","0","702","11"
"Jackson County, Kansas","","","",""
"    Estimate","4,827","40","4,920","72"
"Jefferson County, Kansas","","","",""
"    Estimate","7,322","23","7,198","30"
"Jewell County, Kansas","","","",""
"    Estimate","1,151","2","1,108","7"
"Johnson County, Kansas","","","",""
"    Estimate","194,300","12,100","208,469","13,447"
"Kearny County, Kansas","","","",""
"    Estimate","1,077","109","1,249","47"
"Kingman County, Kansas","","","",""
"    Estimate","2,694","11","2,792","12"
"Kiowa County, Kansas","","","",""
"    Estimate","901","12","956","8"
"Labette County, Kansas","","","",""
"    Estimate","7,313","44","7,676","87"
"Lane County, Kansas","","","",""
"    Estimate","533","19","571","28"
"Leavenworth County, Kansas","","","",""
"    Estimate","32,650","524","27,277","739"
"Lincoln County, Kansas","","","",""
"    Estimate","1,128","0","1,167","1"
"Linn County, Kansas","","","",""
"    Estimate","3,799","0","3,643","72"
"Logan County, Kansas","","","",""
"    Estimate","1,002","10","1,044","7"
"Lyon County, Kansas","","","",""
"    Estimate","10,659","598","12,089","459"
"McPherson County, Kansas","","","",""
"    Estimate","10,570","112","11,088","159"
"Marion County, Kansas","","","",""
"    Estimate","4,595","41","4,651","15"
"Marshall County, Kansas","","","",""
"    Estimate","3,608","24","3,699","33"
"Meade County, Kansas","","","",""
"    Estimate","1,366","53","1,258","113"
"Miami County, Kansas","","","",""
"    Estimate","12,617","76","12,519","132"
"Mitchell County, Kansas","","","",""
"    Estimate","2,368","32","2,267","27"
"Montgomery County, Kansas","","","",""
"    Estimate","11,679","158","12,339","94"
"Morris County, Kansas","","","",""
"    Estimate","2,118","20","2,136","40"
"Morton County, Kansas","","","",""
"    Estimate","780","75","969","41"
"Nemaha County, Kansas","","","",""
"    Estimate","3,675","19","3,684","26"
"Neosho County, Kansas","","","",""
"    Estimate","5,687","6","6,087","39"
"Ness County, Kansas","","","",""
"    Estimate","1,030","14","1,062","31"
"Norton County, Kansas","","","",""
"    Estimate","2,483","0","1,789","35"
"Osage County, Kansas","","","",""
"    Estimate","5,912","11","6,093","88"
"Osborne County, Kansas","","","",""
"    Estimate","1,327","18","1,399","9"
"Ottawa County, Kansas","","","",""
"    Estimate","2,250","0","2,182","20"
"Pawnee County, Kansas","","","",""
"    Estimate","3,085","7","2,330","19"
"Phillips County, Kansas","","","",""
"    Estimate","1,997","4","2,054","26"
"Pottawatomie County, Kansas","","","",""
"    Estimate","8,306","64","8,355","112"
"Pratt County, Kansas","","","",""
"    Estimate","3,347","7","3,428","78"
"Rawlins County, Kansas","","","",""
"    Estimate","953","16","946","4"
"Reno County, Kansas","","","",""
"    Estimate","23,404","338","23,570","199"
"Republic County, Kansas","","","",""
"    Estimate","1,726","16","1,843","14"
"Rice County, Kansas","","","",""
"    Estimate","3,507","111","3,468","52"
"Riley County, Kansas","","","",""
"    Estimate","30,346","933","26,446","841"
"Rooks County, Kansas","","","",""
"    Estimate","1,878","4","1,958","16"
"Rush County, Kansas","","","",""
"    Estimate","1,129","0","1,167","21"
"Russell County, Kansas","","","",""
"    Estimate","2,570","37","2,712","9"
"Saline County, Kansas","","","",""
"    Estimate","19,328","616","19,888","716"
"Scott County, Kansas","","","",""
"    Estimate","1,590","16","1,519","90"
"Sedgwick County, Kansas","","","",""
"    Estimate","166,673","9,442","175,132","9,524"
"Seward County, Kansas","","","",""
"    Estimate","4,482","1,181","4,299","1,057"
"Shawnee County, Kansas","","","",""
"    Estimate","61,292","1,261","67,616","1,501"
"Sheridan County, Kansas","","","",""
"    Estimate","915","10","929","5"
"Sherman County, Kansas","","","",""
"    Estimate","2,124","77","2,226","34"
"Smith County, Kansas","","","",""
"    Estimate","1,433","0","1,434","5"
"Stafford County, Kansas","","","",""
"    Estimate","1,420","50","1,479","36"
"Stanton County, Kansas","","","",""
"    Estimate","629","38","615","74"
"Stevens County, Kansas","","","",""
"    Estimate","1,788","97","1,531","123"
"Sumner County, Kansas","","","",""
"    Estimate","8,450","57","8,618","89"
"Thomas County, Kansas","","","",""
"    Estimate","2,710","55","2,919","41"
"Trego County, Kansas","","","",""
"    Estimate","1,150","0","1,126","0"
"Wabaunsee County, Kansas","","","",""
"    Estimate","2,613","14","2,586","22"
"Wallace County, Kansas","","","",""
"    Estimate","566","11","560","19"
"Washington County, Kansas","","","",""
"    Estimate","2,078","8","2,021","20"
"Wichita County, Kansas","","","",""
"    Estimate","680","62","719","15"
"Wilson County, Kansas","","","",""
"    Estimate","3,159","24","3,352","20"
"Woodson County, Kansas","","","",""
"    Estimate","1,299","4","1,209","2"
"Wyandotte County, Kansas","","","",""
"    Estimate","45,217","2,826","49,814","2,779"
"Adair County, Kentucky","","","",""
"    Estimate","7,355","75","7,861","34"
"Allen County, Kentucky","","","",""
"    Estimate","7,807","39","8,037","31"
"Anderson County, Kentucky","","","",""
"    Estimate","8,247","25","8,797","41"
"Ballard County, Kentucky","","","",""
"    Estimate","3,021","26","3,156","24"
"Barren County, Kentucky","","","",""
"    Estimate","15,734","47","17,109","152"
"Bath County, Kentucky","","","",""
"    Estimate","4,524","1","4,687","0"
"Bell County, Kentucky","","","",""
"    Estimate","9,996","0","10,791","43"
"Boone County, Kentucky","","","",""
"    Estimate","44,928","1,022","46,564","1,394"
"Bourbon County, Kentucky","","","",""
"    Estimate","6,912","131","7,721","97"
"Boyd County, Kentucky","","","",""
"    Estimate","18,134","71","18,596","134"
"Boyle County, Kentucky","","","",""
"    Estimate","11,549","113","11,876","120"
"Bracken County, Kentucky","","","",""
"    Estimate","3,153","7","3,157","0"
"Breathitt County, Kentucky","","","",""
"    Estimate","4,998","9","5,119","15"
"Breckinridge County, Kentucky","","","",""
"    Estimate","7,585","31","7,945","15"
"Bullitt County, Kentucky","","","",""
"    Estimate","30,682","183","31,365","411"
"Butler County, Kentucky","","","",""
"    Estimate","4,756","0","4,851","12"
"Caldwell County, Kentucky","","","",""
"    Estimate","4,500","118","5,121","9"
"Calloway County, Kentucky","","","",""
"    Estimate","14,686","255","15,900","345"
"Campbell County, Kentucky","","","",""
"    Estimate","35,172","365","37,118","462"
"Carlisle County, Kentucky","","","",""
"    Estimate","1,765","6","1,831","46"
"Carroll County, Kentucky","","","",""
"    Estimate","3,937","59","3,839","20"
"Carter County, Kentucky","","","",""
"    Estimate","10,036","14","10,549","9"
"Casey County, Kentucky","","","",""
"    Estimate","5,854","18","6,297","15"
"Christian County, Kentucky","","","",""
"    Estimate","26,788","761","23,367","337"
"Clark County, Kentucky","","","",""
"    Estimate","13,019","103","14,467","183"
"Clay County, Kentucky","","","",""
"    Estimate","8,222","61","7,479","0"
"Clinton County, Kentucky","","","",""
"    Estimate","3,898","12","3,946","0"
"Crittenden County, Kentucky","","","",""
"    Estimate","3,404","41","3,450","8"
"Cumberland County, Kentucky","","","",""
"    Estimate","2,504","0","2,662","0"
"Daviess County, Kentucky","","","",""
"    Estimate","35,251","551","38,366","444"
"Edmonson County, Kentucky","","","",""
"    Estimate","4,945","6","4,925","5"
"Elliott County, Kentucky","","","",""
"    Estimate","3,519","10","2,577","7"
"Estill County, Kentucky","","","",""
"    Estimate","5,393","0","5,715","0"
"Fayette County, Kentucky","","","",""
"    Estimate","107,976","4,670","118,110","4,773"
"Fleming County, Kentucky","","","",""
"    Estimate","5,313","91","5,541","21"
"Floyd County, Kentucky","","","",""
"    Estimate","13,308","32","14,687","0"
"Franklin County, Kentucky","","","",""
"    Estimate","18,199","226","20,076","299"
"Fulton County, Kentucky","","","",""
"    Estimate","2,310","2","2,437","5"
"Gallatin County, Kentucky","","","",""
"    Estimate","3,218","13","3,203","30"
"Garrard County, Kentucky","","","",""
"    Estimate","6,388","64","6,932","109"
"Grant County, Kentucky","","","",""
"    Estimate","8,890","147","9,137","121"
"Graves County, Kentucky","","","",""
"    Estimate","13,022","236","14,184","168"
"Grayson County, Kentucky","","","",""
"    Estimate","9,725","59","10,012","39"
"Green County, Kentucky","","","",""
"    Estimate","4,233","0","4,337","16"
"Greenup County, Kentucky","","","",""
"    Estimate","13,051","101","14,424","83"
"Hancock County, Kentucky","","","",""
"    Estimate","3,268","30","3,259","12"
"Hardin County, Kentucky","","","",""
"    Estimate","39,160","1,019","39,621","1,506"
"Harlan County, Kentucky","","","",""
"    Estimate","9,544","35","10,600","25"
"Harrison County, Kentucky","","","",""
"    Estimate","6,891","37","7,481","0"
"Hart County, Kentucky","","","",""
"    Estimate","6,905","35","7,148","18"
"Henderson County, Kentucky","","","",""
"    Estimate","16,523","98","18,034","202"
"Henry County, Kentucky","","","",""
"    Estimate","5,795","65","6,137","73"
"Hickman County, Kentucky","","","",""
"    Estimate","1,649","36","1,862","25"
"Hopkins County, Kentucky","","","",""
"    Estimate","16,429","34","17,872","158"
"Jackson County, Kentucky","","","",""
"    Estimate","5,044","0","5,327","0"
"Jefferson County, Kentucky","","","",""
"    Estimate","256,802","12,509","287,231","12,731"
"Jessamine County, Kentucky","","","",""
"    Estimate","18,140","507","20,041","619"
"Johnson County, Kentucky","","","",""
"    Estimate","8,319","83","8,851","27"
"Kenton County, Kentucky","","","",""
"    Estimate","59,185","1,064","62,338","944"
"Knott County, Kentucky","","","",""
"    Estimate","5,818","11","6,117","24"
"Knox County, Kentucky","","","",""
"    Estimate","11,233","76","12,296","111"
"Larue County, Kentucky","","","",""
"    Estimate","5,179","27","5,527","29"
"Laurel County, Kentucky","","","",""
"    Estimate","22,293","198","23,848","200"
"Lawrence County, Kentucky","","","",""
"    Estimate","5,701","10","6,007","85"
"Lee County, Kentucky","","","",""
"    Estimate","3,011","0","2,588","0"
"Leslie County, Kentucky","","","",""
"    Estimate","3,893","14","4,036","8"
"Letcher County, Kentucky","","","",""
"    Estimate","8,206","74","8,862","13"
"Lewis County, Kentucky","","","",""
"    Estimate","5,109","0","5,218","7"
"Lincoln County, Kentucky","","","",""
"    Estimate","8,962","6","9,528","17"
"Livingston County, Kentucky","","","",""
"    Estimate","3,495","0","3,651","35"
"Logan County, Kentucky","","","",""
"    Estimate","9,748","40","10,637","52"
"Lyon County, Kentucky","","","",""
"    Estimate","3,715","17","3,222","18"
"McCracken County, Kentucky","","","",""
"    Estimate","23,590","201","26,555","332"
"McCreary County, Kentucky","","","",""
"    Estimate","7,229","30","6,157","20"
"McLean County, Kentucky","","","",""
"    Estimate","3,386","0","3,588","3"
"Madison County, Kentucky","","","",""
"    Estimate","33,896","445","36,986","473"
"Magoffin County, Kentucky","","","",""
"    Estimate","4,680","0","4,811","0"
"Marion County, Kentucky","","","",""
"    Estimate","7,072","51","7,276","8"
"Marshall County, Kentucky","","","",""
"    Estimate","11,997","34","12,673","111"
"Martin County, Kentucky","","","",""
"    Estimate","5,080","10","4,043","6"
"Mason County, Kentucky","","","",""
"    Estimate","6,124","123","6,745","25"
"Meade County, Kentucky","","","",""
"    Estimate","10,838","54","10,809","156"
"Menifee County, Kentucky","","","",""
"    Estimate","2,650","0","2,433","17"
"Mercer County, Kentucky","","","",""
"    Estimate","7,986","28","8,447","25"
"Metcalfe County, Kentucky","","","",""
"    Estimate","3,679","13","3,959","32"
"Monroe County, Kentucky","","","",""
"    Estimate","3,944","0","4,111","26"
"Montgomery County, Kentucky","","","",""
"    Estimate","10,072","35","11,148","12"
"Morgan County, Kentucky","","","",""
"    Estimate","6,076","3","4,663","7"
"Muhlenberg County, Kentucky","","","",""
"    Estimate","11,755","321","12,037","106"
"Nelson County, Kentucky","","","",""
"    Estimate","16,758","214","17,783","99"
"Nicholas County, Kentucky","","","",""
"    Estimate","2,715","8","2,758","12"
"Ohio County, Kentucky","","","",""
"    Estimate","8,695","48","9,071","48"
"Oldham County, Kentucky","","","",""
"    Estimate","25,206","584","22,170","676"
"Owen County, Kentucky","","","",""
"    Estimate","4,304","0","4,123","0"
"Owsley County, Kentucky","","","",""
"    Estimate","1,582","4","1,979","6"
"Pendleton County, Kentucky","","","",""
"    Estimate","5,555","87","5,505","22"
"Perry County, Kentucky","","","",""
"    Estimate","9,659","13","10,282","17"
"Pike County, Kentucky","","","",""
"    Estimate","22,220","145","23,927","91"
"Powell County, Kentucky","","","",""
"    Estimate","4,476","47","4,643","36"
"Pulaski County, Kentucky","","","",""
"    Estimate","23,519","236","25,701","220"
"Robertson County, Kentucky","","","",""
"    Estimate","793","0","817","3"
"Rockcastle County, Kentucky","","","",""
"    Estimate","6,306","0","6,783","7"
"Rowan County, Kentucky","","","",""
"    Estimate","9,170","96","10,071","128"
"Russell County, Kentucky","","","",""
"    Estimate","6,461","63","6,956","94"
"Scott County, Kentucky","","","",""
"    Estimate","19,625","337","20,683","310"
"Shelby County, Kentucky","","","",""
"    Estimate","16,232","383","18,356","281"
"Simpson County, Kentucky","","","",""
"    Estimate","6,583","118","6,983","42"
"Spencer County, Kentucky","","","",""
"    Estimate","7,212","32","7,242","55"
"Taylor County, Kentucky","","","",""
"    Estimate","9,232","83","10,201","65"
"Todd County, Kentucky","","","",""
"    Estimate","4,306","43","4,448","21"
"Trigg County, Kentucky","","","",""
"    Estimate","5,472","37","5,684","81"
"Trimble County, Kentucky","","","",""
"    Estimate","3,146","30","3,306","19"
"Union County, Kentucky","","","",""
"    Estimate","5,809","28","5,911","33"
"Warren County, Kentucky","","","",""
"    Estimate","43,541","1,964","47,242","1,971"
"Washington County, Kentucky","","","",""
"    Estimate","4,336","0","4,745","34"
"Wayne County, Kentucky","","","",""
"    Estimate","7,628","66","8,123","67"
"Webster County, Kentucky","","","",""
"    Estimate","4,770","16","4,855","25"
"Whitley County, Kentucky","","","",""
"    Estimate","12,948","110","13,787","9"
"Wolfe County, Kentucky","","","",""
"    Estimate","2,649","0","2,826","37"
"Woodford County, Kentucky","","","",""
"    Estimate","9,003","86","10,401","66"
"Acadia Parish, Louisiana","","","",""
"    Estimate","21,758","158","23,674","184"
"Allen Parish, Louisiana","","","",""
"    Estimate","10,311","80","8,222","68"
"Ascension Parish, Louisiana","","","",""
"    Estimate","42,391","859","45,021","735"
"Assumption Parish, Louisiana","","","",""
"    Estimate","8,215","0","8,970","88"
"Avoyelles Parish, Louisiana","","","",""
"    Estimate","15,298","95","15,339","74"
"Beauregard Parish, Louisiana","","","",""
"    Estimate","14,027","138","13,438","215"
"Bienville Parish, Louisiana","","","",""
"    Estimate","4,884","0","5,371","37"
"Bossier Parish, Louisiana","","","",""
"    Estimate","44,858","817","46,383","1,394"
"Caddo Parish, Louisiana","","","",""
"    Estimate","83,567","1,083","96,685","1,469"
"Calcasieu Parish, Louisiana","","","",""
"    Estimate","70,991","1,004","76,045","1,275"
"Caldwell Parish, Louisiana","","","",""
"    Estimate","3,909","25","3,712","14"
"Cameron Parish, Louisiana","","","",""
"    Estimate","2,567","55","2,657","0"
"Catahoula Parish, Louisiana","","","",""
"    Estimate","4,023","0","3,430","30"
"Claiborne Parish, Louisiana","","","",""
"    Estimate","7,555","29","5,325","42"
"Concordia Parish, Louisiana","","","",""
"    Estimate","7,222","32","7,351","15"
"De Soto Parish, Louisiana","","","",""
"    Estimate","9,813","24","10,860","60"
"East Baton Rouge Parish, Louisiana","","","",""
"    Estimate","148,991","4,033","171,858","4,363"
"East Carroll Parish, Louisiana","","","",""
"    Estimate","3,350","14","1,868","0"
"East Feliciana Parish, Louisiana","","","",""
"    Estimate","8,672","49","7,004","21"
"Evangeline Parish, Louisiana","","","",""
"    Estimate","11,954","72","12,070","21"
"Franklin Parish, Louisiana","","","",""
"    Estimate","7,143","23","7,777","18"
"Grant Parish, Louisiana","","","",""
"    Estimate","9,701","61","7,407","14"
"Iberia Parish, Louisiana","","","",""
"    Estimate","24,200","645","26,108","351"
"Iberville Parish, Louisiana","","","",""
"    Estimate","12,798","135","12,746","20"
"Jackson Parish, Louisiana","","","",""
"    Estimate","6,264","17","6,010","65"
"Jefferson Parish, Louisiana","","","",""
"    Estimate","134,642","10,534","153,464","11,244"
"Jefferson Davis Parish, Louisiana","","","",""
"    Estimate","11,100","82","12,071","50"
"Lafayette Parish, Louisiana","","","",""
"    Estimate","84,667","1,366","92,116","2,064"
"Lafourche Parish, Louisiana","","","",""
"    Estimate","35,252","377","37,608","475"
"LaSalle Parish, Louisiana","","","",""
"    Estimate","5,757","12","5,416","24"
"Lincoln Parish, Louisiana","","","",""
"    Estimate","17,203","271","18,729","414"
"Livingston Parish, Louisiana","","","",""
"    Estimate","49,260","434","52,028","632"
"Madison Parish, Louisiana","","","",""
"    Estimate","4,143","21","4,242","0"
"Morehouse Parish, Louisiana","","","",""
"    Estimate","8,910","57","10,051","52"
"Natchitoches Parish, Louisiana","","","",""
"    Estimate","13,696","77","15,554","58"
"Orleans Parish, Louisiana","","","",""
"    Estimate","135,412","4,805","157,652","5,112"
"Ouachita Parish, Louisiana","","","",""
"    Estimate","52,982","731","60,402","849"
"Plaquemines Parish, Louisiana","","","",""
"    Estimate","8,004","294","8,331","331"
"Pointe Coupee Parish, Louisiana","","","",""
"    Estimate","7,929","58","8,822","136"
"Rapides Parish, Louisiana","","","",""
"    Estimate","44,990","775","50,084","678"
"Red River Parish, Louisiana","","","",""
"    Estimate","3,032","0","3,425","0"
"Richland Parish, Louisiana","","","",""
"    Estimate","7,373","86","8,072","2"
"Sabine Parish, Louisiana","","","",""
"    Estimate","8,886","11","9,259","75"
"St. Bernard Parish, Louisiana","","","",""
"    Estimate","15,460","430","16,793","450"
"St. Charles Parish, Louisiana","","","",""
"    Estimate","18,447","479","19,727","656"
"St. Helena Parish, Louisiana","","","",""
"    Estimate","3,763","4","4,134","17"
"St. James Parish, Louisiana","","","",""
"    Estimate","7,677","37","8,470","34"
"St. John the Baptist Parish, Louisiana","","","",""
"    Estimate","14,553","546","16,018","696"
"St. Landry Parish, Louisiana","","","",""
"    Estimate","28,133","127","31,775","111"
"St. Martin Parish, Louisiana","","","",""
"    Estimate","19,296","154","20,509","185"
"St. Mary Parish, Louisiana","","","",""
"    Estimate","17,306","353","18,891","335"
"St. Tammany Parish, Louisiana","","","",""
"    Estimate","89,276","2,241","97,380","2,800"
"Tangipahoa Parish, Louisiana","","","",""
"    Estimate","46,570","497","51,432","590"
"Tensas Parish, Louisiana","","","",""
"    Estimate","1,577","13","1,785","17"
"Terrebonne Parish, Louisiana","","","",""
"    Estimate","38,729","651","41,164","553"
"Union Parish, Louisiana","","","",""
"    Estimate","8,371","15","8,622","50"
"Vermilion Parish, Louisiana","","","",""
"    Estimate","20,448","404","22,662","386"
"Vernon Parish, Louisiana","","","",""
"    Estimate","19,440","440","15,942","674"
"Washington Parish, Louisiana","","","",""
"    Estimate","17,025","34","17,749","148"
"Webster Parish, Louisiana","","","",""
"    Estimate","14,230","94","15,403","131"
"West Baton Rouge Parish, Louisiana","","","",""
"    Estimate","9,679","49","10,266","7"
"West Carroll Parish, Louisiana","","","",""
"    Estimate","4,162","45","4,171","39"
"West Feliciana Parish, Louisiana","","","",""
"    Estimate","8,605","102","3,907","19"
"Winn Parish, Louisiana","","","",""
"    Estimate","6,053","21","5,039","31"
"Androscoggin County, Maine","","","",""
"    Estimate","39,424","705","41,998","886"
"Aroostook County, Maine","","","",""
"    Estimate","25,884","597","26,499","1,256"
"Cumberland County, Maine","","","",""
"    Estimate","107,147","4,170","116,934","4,709"
"Franklin County, Maine","","","",""
"    Estimate","11,814","70","12,283","213"
"Hancock County, Maine","","","",""
"    Estimate","21,111","373","22,694","454"
"Kennebec County, Maine","","","",""
"    Estimate","46,350","517","49,669","895"
"Knox County, Maine","","","",""
"    Estimate","15,722","204","16,162","295"
"Lincoln County, Maine","","","",""
"    Estimate","13,470","170","14,382","276"
"Oxford County, Maine","","","",""
"    Estimate","22,726","192","23,509","345"
"Penobscot County, Maine","","","",""
"    Estimate","59,095","917","60,966","1,222"
"Piscataquis County, Maine","","","",""
"    Estimate","6,920","34","6,785","100"
"Sagadahoc County, Maine","","","",""
"    Estimate","13,474","268","14,327","390"
"Somerset County, Maine","","","",""
"    Estimate","19,920","134","20,208","343"
"Waldo County, Maine","","","",""
"    Estimate","15,482","134","16,050","235"
"Washington County, Maine","","","",""
"    Estimate","12,014","202","12,246","433"
"York County, Maine","","","",""
"    Estimate","77,107","1,796","83,446","2,259"
"Allegany County, Maryland","","","",""
"    Estimate","30,113","325","27,218","411"
"Anne Arundel County, Maryland","","","",""
"    Estimate","198,040","12,672","202,098","15,088"
"Baltimore County, Maryland","","","",""
"    Estimate","255,930","25,500","299,484","29,020"
"Calvert County, Maryland","","","",""
"    Estimate","33,480","813","34,474","1,188"
"Caroline County, Maryland","","","",""
"    Estimate","11,556","312","12,107","253"
"Carroll County, Maryland","","","",""
"    Estimate","61,487","1,573","63,590","2,346"
"Cecil County, Maryland","","","",""
"    Estimate","37,244","1,193","38,632","855"
"Charles County, Maryland","","","",""
"    Estimate","53,691","2,802","59,332","3,464"
"Dorchester County, Maryland","","","",""
"    Estimate","11,052","252","12,944","304"
"Frederick County, Maryland","","","",""
"    Estimate","83,717","7,081","86,258","8,496"
"Garrett County, Maryland","","","",""
"    Estimate","11,572","86","11,885","96"
"Harford County, Maryland","","","",""
"    Estimate","89,922","3,796","95,734","4,558"
"Howard County, Maryland","","","",""
"    Estimate","86,925","19,656","92,647","21,854"
"Kent County, Maryland","","","",""
"    Estimate","7,320","107","8,142","224"
"Montgomery County, Maryland","","","",""
"    Estimate","235,035","83,813","252,968","101,875"
"Prince George's County, Maryland","","","",""
"    Estimate","236,130","41,485","276,686","46,843"
"Queen Anne's County, Maryland","","","",""
"    Estimate","18,323","582","19,060","524"
"St. Mary's County, Maryland","","","",""
"    Estimate","40,285","1,162","39,979","1,802"
"Somerset County, Maryland","","","",""
"    Estimate","11,127","296","9,247","227"
"Talbot County, Maryland","","","",""
"    Estimate","12,936","563","14,970","557"
"Washington County, Maryland","","","",""
"    Estimate","56,390","1,647","54,379","2,090"
"Wicomico County, Maryland","","","",""
"    Estimate","34,013","1,224","39,066","1,822"
"Worcester County, Maryland","","","",""
"    Estimate","19,488","466","20,999","663"
"Baltimore city, Maryland","","","",""
"    Estimate","196,434","9,760","237,067","10,266"
"Barnstable County, Massachusetts","","","",""
"    Estimate","77,775","4,196","86,233","5,660"
"Berkshire County, Massachusetts","","","",""
"    Estimate","47,002","1,941","51,007","2,280"
"Bristol County, Massachusetts","","","",""
"    Estimate","180,552","20,796","197,942","24,950"
"Dukes County, Massachusetts","","","",""
"    Estimate","6,130","444","6,339","641"
"Essex County, Massachusetts","","","",""
"    Estimate","233,492","34,137","259,720","40,762"
"Franklin County, Massachusetts","","","",""
"    Estimate","26,587","768","28,639","1,018"
"Hampden County, Massachusetts","","","",""
"    Estimate","156,594","11,094","171,601","14,134"
"Hampshire County, Massachusetts","","","",""
"    Estimate","57,627","2,496","66,710","4,169"
"Middlesex County, Massachusetts","","","",""
"    Estimate","467,416","78,009","500,114","87,575"
"Nantucket County, Massachusetts","","","",""
"    Estimate","4,316","361","3,408","322"
"Norfolk County, Massachusetts","","","",""
"    Estimate","206,058","35,264","227,118","41,641"
"Plymouth County, Massachusetts","","","",""
"    Estimate","173,337","13,110","187,184","16,241"
"Suffolk County, Massachusetts","","","",""
"    Estimate","211,281","49,247","233,219","61,227"
"Worcester County, Massachusetts","","","",""
"    Estimate","272,243","25,486","284,903","28,470"
"Alcona County, Michigan","","","",""
"    Estimate","4,464","66","4,425","54"
"Alger County, Michigan","","","",""
"    Estimate","4,310","19","3,282","32"
"Allegan County, Michigan","","","",""
"    Estimate","42,408","569","42,895","786"
"Alpena County, Michigan","","","",""
"    Estimate","11,148","78","11,586","95"
"Antrim County, Michigan","","","",""
"    Estimate","9,190","82","9,562","67"
"Arenac County, Michigan","","","",""
"    Estimate","6,154","52","5,989","47"
"Baraga County, Michigan","","","",""
"    Estimate","3,804","36","2,977","10"
"Barry County, Michigan","","","",""
"    Estimate","23,040","384","23,165","419"
"Bay County, Michigan","","","",""
"    Estimate","39,453","393","41,916","309"
"Benzie County, Michigan","","","",""
"    Estimate","6,923","105","7,265","113"
"Berrien County, Michigan","","","",""
"    Estimate","54,473","1,488","58,634","1,767"
"Branch County, Michigan","","","",""
"    Estimate","16,485","266","15,194","303"
"Calhoun County, Michigan","","","",""
"    Estimate","47,516","977","51,020","1,122"
"Cass County, Michigan","","","",""
"    Estimate","19,957","172","20,153","216"
"Charlevoix County, Michigan","","","",""
"    Estimate","10,308","102","10,521","136"
"Cheboygan County, Michigan","","","",""
"    Estimate","10,430","79","10,444","167"
"Chippewa County, Michigan","","","",""
"    Estimate","16,083","204","13,317","389"
"Clare County, Michigan","","","",""
"    Estimate","12,065","105","12,185","118"
"Clinton County, Michigan","","","",""
"    Estimate","29,113","417","30,063","679"
